HomeTeam,AwayTeam,Score
Burnley,Chelsea FC,1 - 4
Crystal Palace,Nottingham Forest,0 - 0
Manchester United,Brentford FC,2 - 1
Luton Town F.C.,Tottenham Hotspur,0 - 1
Luton Town F.C.,Burnley,1 - 2
Fulham,Chelsea FC,0 - 2
Nottingham Forest,Brentford FC,1 - 1
AFC Bournemouth,Arsenal,0 - 4
Everton FC,Luton Town F.C.,1 - 2
Aston Villa,Brighton & Hove Albion,6 - 1
Tottenham Hotspur,Liverpool FC,2 - 1
West Ham United,Sheffield United FC,2 - 0
Wolverhampton Wanderers,Manchester City,2 - 1
Manchester United,Crystal Palace,0 - 1
Newcastle United,Burnley,2 - 0
Brighton & Hove Albion,AFC Bournemouth,3 - 1
Arsenal,Tottenham Hotspur,2 - 2
Chelsea FC,Aston Villa,0 - 1
Liverpool FC,West Ham United,3 - 1
Sheffield United FC,Newcastle United,0 - 8
Brentford FC,Everton FC,1 - 3
Luton Town F.C.,Wolverhampton Wanderers,1 - 1
Crystal Palace,Fulham,0 - 0
Manchester City,Nottingham Forest,2 - 0
Burnley,Manchester United,0 - 1
Nottingham Forest,Burnley,1 - 1
AFC Bournemouth,Chelsea FC,0 - 0
Everton FC,Arsenal,0 - 1
Manchester United,Brighton & Hove Albion,1 - 3
Wolverhampton Wanderers,Liverpool FC,1 - 3
Fulham,Luton Town F.C.,1 - 0
Newcastle United,Brentford FC,1 - 0
Tottenham Hotspur,Sheffield United FC,2 - 1
Aston Villa,Crystal Palace,3 - 1
West Ham United,Manchester City,1 - 3
Arsenal,Manchester United,3 - 1
Liverpool FC,Aston Villa,3 - 0
Crystal Palace,Wolverhampton Wanderers,3 - 2
Chelsea FC,Nottingham Forest,0 - 1
Sheffield United FC,Everton FC,2 - 2
Manchester City,Fulham,5 - 1
Brentford FC,AFC Bournemouth,2 - 2
Brighton & Hove Albion,Newcastle United,3 - 1
Burnley,Tottenham Hotspur,2 - 5
Luton Town F.C.,West Ham United,1 - 2
Newcastle United,Liverpool FC,1 - 2
Sheffield United FC,Manchester City,1 - 2
Burnley,Aston Villa,1 - 3
Arsenal,Fulham,2 - 2
Manchester United,Nottingham Forest,3 - 2
Brentford FC,Crystal Palace,1 - 1
Everton FC,Wolverhampton Wanderers,0 - 1
AFC Bournemouth,Tottenham Hotspur,0 - 2
Brighton & Hove Albion,West Ham United,1 - 3
Chelsea FC,Luton Town F.C.,3 - 0
Crystal Palace,Arsenal,0 - 1
Aston Villa,Everton FC,4 - 0
West Ham United,Chelsea FC,3 - 1
Fulham,Brentford FC,0 - 3
Liverpool FC,AFC Bournemouth,3 - 1
Manchester City,Newcastle United,1 - 0
Tottenham Hotspur,Manchester United,2 - 0
Wolverhampton Wanderers,Brighton & Hove Albion,1 - 4
Nottingham Forest,Sheffield United FC,2 - 1
Manchester United,Wolverhampton Wanderers,1 - 0
Chelsea FC,Liverpool FC,1 - 1
Brentford FC,Tottenham Hotspur,2 - 2
Brighton & Hove Albion,Luton Town F.C.,4 - 1
Arsenal,Nottingham Forest,2 - 1
Everton FC,Fulham,0 - 1
Sheffield United FC,Crystal Palace,0 - 1
AFC Bournemouth,West Ham United,1 - 1
Newcastle United,Aston Villa,5 - 1
Burnley,Manchester City,0 - 3
