HomeTeam,AwayTeam,Score,Result
Brighton,Bournemouth,3 - 1,1
Arsenal,Tottenham,2 - 2,0
Chelsea,Aston Villa,0 - 1,0
Liverpool,West Ham,3 - 1,1
Sheffield United,Newcastle,0 - 8,0
Brentford,Everton,1 - 3,0
Luton Town,Wolves,1 - 1,0
Crystal Palace,Fulham,0 - 0,0
Man City,Nottm Forrest,2 - 0,1
Burnley,Man United,0 - 1,0
Nottm Forrest,Burnley,1 - 1,0
Bournemouth,Chelsea,0 - 0,0
Everton,Arsenal,0 - 1,0
Man United,Brighton,1 - 3,0
Wolves,Liverpool,1 - 3,0
Fulham,Luton Town,1 - 0,1
Newcastle,Brentford,1 - 0,1
Tottenham,Sheffield United,2 - 1,1
Aston Villa,Crystal Palace,3 - 1,1
West Ham,Man City,1 - 3,0
Arsenal,Man United,3 - 1,1
Liverpool,Aston Villa,3 - 0,1
Crystal Palace,Wolves,3 - 2,1
Chelsea,Nottm Forrest,0 - 1,0
Sheffield United,Everton,2 - 2,0
Man City,Fulham,5 - 1,1
Brentford,Bournemouth,2 - 2,0
Brighton,Newcastle,3 - 1,1
Burnley,Tottenham,2 - 5,0
Luton Town,West Ham,1 - 2,0
Newcastle,Liverpool,1 - 2,0
Sheffield United,Man City,1 - 2,0
Burnley,Aston Villa,1 - 3,0
Arsenal,Fulham,2 - 2,0
Man United,Nottm Forrest,3 - 2,1
Brentford,Crystal Palace,1 - 1,0
Everton,Wolves,0 - 1,0
Bournemouth,Tottenham,0 - 2,0
Brighton,West Ham,1 - 3,0
Chelsea,Luton Town,3 - 0,1
Crystal Palace,Arsenal,0 - 1,0
Aston Villa,Everton,4 - 0,1
West Ham,Chelsea,3 - 1,1
Fulham,Brentford,0 - 3,0
Liverpool,Bournemouth,3 - 1,1
Man City,Newcastle,1 - 0,1
Tottenham,Man United,2 - 0,1
Wolves,Brighton,1 - 4,0
Nottm Forrest,Sheffield United,2 - 1,1
Man United,Wolves,1 - 0,1
Chelsea,Liverpool,1 - 1,0
Brentford,Tottenham,2 - 2,0
Brighton,Luton Town,4 - 1,1
Arsenal,Nottm Forrest,2 - 1,1
Everton,Fulham,0 - 1,0
Sheffield United,Crystal Palace,0 - 1,0
Bournemouth,West Ham,1 - 1,0
Newcastle,Aston Villa,5 - 1,1
Burnley,Man City,0 - 3,0
